"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33441","Checks autocomplete in selectors by countries [2] ""United States of America""","","2026-07-09","passed","2026-07-09","","tests.ui.AutocompleteTests","tests.ui.AutocompleteTests","shouldAutoCompleteCountryTests"
"Test unsuccessful login with the incorrect credentials: password","39533","Unsuccessful login using an invalid password","","2026-07-09","passed","2026-07-09","","tests.ui.LoginTests","tests.ui.LoginTests","shouldUnsuccessfulInvalidPasswordLoginTest"
"","38871","Display correct texts in inputs For input: number ""-1"" should display ""-1"" for input: text ""очень интересный текст"" should display ""очень интересный текст"" for input: password ""434"" should display ""434""  for input: date ""01.01.2025"" should display ""01.01.2025""","","2026-07-09","passed","2026-07-09","","tests.ui.InputsTests","tests.ui.InputsTests","shouldDisplayTextsInputsTests"
"","38526","Reload doesn't change checkboxes","","2026-07-09","passed","2026-07-09","","tests.ui.CheckboxTests","tests.ui.CheckboxTests","shouldNothingChangesCheckboxesAfterReloadPageTests"
"","31195","Checks autocomplete in selectors by countries [1] ""Canada""","","2026-07-09","passed","2026-07-09","","tests.ui.AutocompleteTests","tests.ui.AutocompleteTests","shouldAutoCompleteCountryTests"
"","41405","Undisplay text value in number output","","2026-07-09","failed","2026-07-09","","tests.ui.InputsTests","tests.ui.InputsTests","shouldUndisplayTextNumberInputsTests"
"","36466","Display correct texts in inputs For input: number ""103"" should display ""103"" for input: text ""display text"" should display ""display text"" for input: password ""veryS%43gfbv"" should display ""veryS%43gfbv""  for input: date ""31.12.2024"" should display ""31.12.2024""","","2026-07-09","failed","2026-07-09","","tests.ui.InputsTests","tests.ui.InputsTests","shouldDisplayTextsInputsTests"
"Test unsuccessful login with the empty credentials","33587","Unsuccessful login with empty credentials","","2026-07-09","passed","2026-07-09","","tests.ui.LoginTests","tests.ui.LoginTests","shouldUnsuccessfulEmptyCredentialsLoginTest"
"","33556","Activates checkboxes","","2026-07-09","passed","2026-07-09","","tests.ui.CheckboxTests","tests.ui.CheckboxTests","shouldActivatesCheckboxesTests"
"Test successful login with the correct credentials","42443","Successful login","","2026-07-09","passed","2026-07-09","","tests.ui.LoginTests","tests.ui.LoginTests","shouldSuccessfulLoginTest"
"","37512","Deactivates checkboxes","","2026-07-09","passed","2026-07-09","","tests.ui.CheckboxTests","tests.ui.CheckboxTests","shouldDeactivatesCheckboxesTests"
"","31526","Checks autocomplete in selectors by countries [3] ""France""","","2026-07-09","passed","2026-07-09","","tests.ui.AutocompleteTests","tests.ui.AutocompleteTests","shouldAutoCompleteCountryTests"
"Test unsuccessful login with the incorrect credentials: username","40859","Unsuccessful login using an invalid username","","2026-07-09","passed","2026-07-09","","tests.ui.LoginTests","tests.ui.LoginTests","shouldUnsuccessfulInvalidUsernameLoginTest"
"","42075","Display correct texts in inputs For input: number ""0"" should display ""0"" for input: text ""Test"" should display ""Test"" for input: password ""veryStrongPass"" should display ""veryStrongPass""  for input: date ""05.08.2024"" should display ""05.08.2024""","","2026-07-09","failed","2026-07-09","","tests.ui.InputsTests","tests.ui.InputsTests","shouldDisplayTextsInputsTests"
"","32083","Display empty texts in inputs","","2026-07-09","passed","2026-07-09","","tests.ui.InputsTests","tests.ui.InputsTests","shouldDisplayEmptyTextsInputsTests"
"","36022","Click a keyboard button and check display action","","2026-07-09","passed","2026-07-09","","tests.ui.KeyPressesTests","tests.ui.KeyPressesTests","shouldDisplayTypedSymbolTests"
