"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34819","Checks autocomplete in selectors by countries [3] ""France""","","2026-07-10","passed","2026-07-10","","tests.ui.AutocompleteTests","tests.ui.AutocompleteTests","shouldAutoCompleteCountryTests"
"","41350","Display correct texts in inputs For input: number ""-1"" should display ""-1"" for input: text ""очень интересный текст"" should display ""очень интересный текст"" for input: password ""434"" should display ""434""  for input: date ""01.01.2025"" should display ""01.01.2025""","","2026-07-10","passed","2026-07-10","","tests.ui.InputsTests","tests.ui.InputsTests","shouldDisplayTextsInputsTests"
"","30011","Display empty texts in inputs","","2026-07-10","passed","2026-07-10","","tests.ui.InputsTests","tests.ui.InputsTests","shouldDisplayEmptyTextsInputsTests"
"","33638","Deactivates checkboxes","","2026-07-10","passed","2026-07-10","","tests.ui.CheckboxTests","tests.ui.CheckboxTests","shouldDeactivatesCheckboxesTests"
"Test unsuccessful login with the empty credentials","40571","Unsuccessful login with empty credentials","","2026-07-10","passed","2026-07-10","","tests.ui.LoginTests","tests.ui.LoginTests","shouldUnsuccessfulEmptyCredentialsLoginTest"
"","37092","Checks autocomplete in selectors by countries [2] ""United States of America""","","2026-07-10","passed","2026-07-10","","tests.ui.AutocompleteTests","tests.ui.AutocompleteTests","shouldAutoCompleteCountryTests"
"","42035","Display correct texts in inputs For input: number ""103"" should display ""103"" for input: text ""display text"" should display ""display text"" for input: password ""veryS%43gfbv"" should display ""veryS%43gfbv""  for input: date ""31.12.2024"" should display ""31.12.2024""","","2026-07-10","passed","2026-07-10","","tests.ui.InputsTests","tests.ui.InputsTests","shouldDisplayTextsInputsTests"
"","35083","Reload doesn't change checkboxes","","2026-07-10","passed","2026-07-10","","tests.ui.CheckboxTests","tests.ui.CheckboxTests","shouldNothingChangesCheckboxesAfterReloadPageTests"
"","33571","Activates checkboxes","","2026-07-10","passed","2026-07-10","","tests.ui.CheckboxTests","tests.ui.CheckboxTests","shouldActivatesCheckboxesTests"
"","34857","Undisplay text value in number output","","2026-07-10","passed","2026-07-10","","tests.ui.InputsTests","tests.ui.InputsTests","shouldUndisplayTextNumberInputsTests"
"Test successful login with the correct credentials","43137","Successful login","","2026-07-10","passed","2026-07-10","","tests.ui.LoginTests","tests.ui.LoginTests","shouldSuccessfulLoginTest"
"Test unsuccessful login with the incorrect credentials: username","42411","Unsuccessful login using an invalid username","","2026-07-10","passed","2026-07-10","","tests.ui.LoginTests","tests.ui.LoginTests","shouldUnsuccessfulInvalidUsernameLoginTest"
"Test unsuccessful login with the incorrect credentials: password","43209","Unsuccessful login using an invalid password","","2026-07-10","passed","2026-07-10","","tests.ui.LoginTests","tests.ui.LoginTests","shouldUnsuccessfulInvalidPasswordLoginTest"
"","40927","Click a keyboard button and check display action","","2026-07-10","passed","2026-07-10","","tests.ui.KeyPressesTests","tests.ui.KeyPressesTests","shouldDisplayTypedSymbolTests"
"","33649","Checks autocomplete in selectors by countries [1] ""Canada""","","2026-07-10","passed","2026-07-10","","tests.ui.AutocompleteTests","tests.ui.AutocompleteTests","shouldAutoCompleteCountryTests"
"","40448","Display correct texts in inputs For input: number ""0"" should display ""0"" for input: text ""Test"" should display ""Test"" for input: password ""veryStrongPass"" should display ""veryStrongPass""  for input: date ""05.08.2024"" should display ""05.08.2024""","","2026-07-10","passed","2026-07-10","","tests.ui.InputsTests","tests.ui.InputsTests","shouldDisplayTextsInputsTests"
